iso3,region,sub_region,year,population,urban_pct,urban_pop_mn,gdp_pc_ppp_const2021,gdp_ppp_bn,gdp_growth_pct,gfcf_pct_gdp,coal_prod_twh,population_imputed,urban_pct_imputed,gdp_pc_ppp_const2021_imputed,gdp_growth_pct_imputed,gfcf_pct_gdp_imputed,coal_prod_twh_imputed,copper_usd_t_real2010,ironore_usd_dmtu_real2010,coal_aus_usd_t_real2010,gold_usd_oz_real2010
ESP,欧州,欧州,2017,46868594.0,79.4663233085683,37.24474843822025,45446.2508575695,2130.001880265577,2.89604207865007,18.9061933772299,13.117,0,0,0,0,0,0,6342,73.8,91.0,1293
ESP,欧州,欧州,2018,47092817.0,79.5580057813361,37.466106071454035,46325.2099441141,2181.5846343847456,2.39541124478878,19.6739026426325,10.268,0,0,0,0,0,0,6411,68.5,105.1,1246
ESP,欧州,欧州,2019,47435121.0,79.6349761108307,37.77494727649364,46896.4171141424,2224.5372202758153,1.96117850841711,20.305014716322,0.685,0,0,0,0,0,0,6042,94.3,78.3,1400
ESP,欧州,欧州,2020,47679482.0,79.6955674617799,37.998433742737205,41553.4477945675,1981.246866159021,-10.9400706350371,20.6159328524088,0.519,0,0,0,0,0,0,6306,111.3,62.1,1808
ESP,欧州,欧州,2021,47735670.0,79.7846242983598,38.08572496580484,44251.6658222621,2112.3829166417822,6.68314420473001,20.199534753463,0.494,0,0,0,0,0,0,8516,147.8,126.2,1645
ESP,欧州,欧州,2022,47828386.0,79.9548794567814,38.24112837242411,46733.4809780536,2235.1869673420056,6.37031712129601,20.4882317498181,0.388,0,0,0,0,0,0,7512,103.3,293.7,1533
ESP,欧州,欧州,2023,47911583.0,80.128491001856,38.39082847300177,47322.5937004504,2267.300375854407,2.46085796805582,20.4658153069816,0.225,0,0,0,0,0,0,7441,105.7,151.4,1703
ESP,欧州,欧州,2024,47910533.0,80.315199821207,38.47944031435532,48460.2914069661,2321.758390643066,3.45525405630191,20.2878325064447,0.226,0,0,0,0,0,0,7943,95.0,118.3,2074
ESP,欧州,欧州,2025,47889960.0,80.5149251039138,38.55856542629427,49318.105559037,2361.8421024980594,2.82495400578509,20.6085758722391,0.226,0,0,0,0,0,1,8568,86.3,93.4,2964
FRA,欧州,欧州,1995,58192207.0,75.0991069026347,43.701827743932476,40570.7169560557,2360.899559245203,2.30479278392259,19.7468961999087,61.389,0,0,0,0,0,0,3194,30.9,42.8,418
FRA,欧州,欧州,1996,58380638.0,75.3592581297959,43.995215688241714,40990.7395148125,2393.0655249665638,1.39707987198881,19.4613166260042,60.841,0,0,0,0,0,0,2545,33.3,42.2,430
FRA,欧州,欧州,1997,58568662.0,75.6252262826369,44.29268316821277,41876.9330265158,2452.6759360266406,2.5270616339357,18.9622191489104,50.21,0,0,0,0,0,0,2650,35.1,40.8,385
FRA,欧州,欧州,1998,58778817.0,75.8918556090764,44.608334926363256,43162.5423856938,2537.0431801434393,3.45259434279616,19.3445588173251,41.566,0,0,0,0,0,0,2013,37.7,35.6,358
FRA,欧州,欧州,1999,59084209.0,76.1682703613968,45.003420052012736,44400.1357889191,2623.346902580876,3.39930808809441,20.1747054792753,37.174,0,0,0,0,0,0,1952,34.2,32.1,346
FRA,欧州,欧州,2000,59483716.0,76.5143983146093,45.51360739257098,45922.4789363701,2731.639695067021,4.14099996402915,20.8814379037151,25.497,0,0,0,0,0,0,2279,36.2,33.0,351
FRA,欧州,欧州,2001,59905131.0,76.9074413607811,46.0715034959241,46454.8706927365,2782.8851144364407,1.89946701186636,20.8602882389306,16.574,0,0,0,0,0,0,2061,39.2,42.2,354
FRA,欧州,欧州,2002,60327247.0,77.2543866607525,46.60544465916721,46610.7820717214,2811.9001629039085,1.06775027069419,20.3363313536887,11.99,0,0,0,0,0,0,2061,38.7,33.4,410
FRA,欧州,欧州,2003,60741119.0,77.4691216035138,47.05561134144503,46730.975806379,2838.491762441388,0.967827182558352,20.4989506339345,13.174,0,0,0,0,0,0,2235,40.1,32.8,457
FRA,欧州,欧州,2004,61175244.0,77.4900500011961,47.404727163953716,47720.4413351103,2919.309642463058,2.86825052501032,20.8372793779546,1.214,0,0,0,0,0,0,3370,44.6,62.3,481
FRA,欧州,欧州,2005,61625031.0,77.4363315105438,47.720163298635384,48257.4650937971,2973.8677823866647,1.88856584109286,21.2552645424979,0.0,0,0,0,0,0,0,4195,74.1,54.3,507
FRA,欧州,欧州,2006,62049831.0,77.3467240068648,47.99351153029604,49223.247197008,3054.29416984557,2.71406448755236,21.8977868505057,0.0,0,0,0,0,0,0,7475,77.1,54.6,672
FRA,欧州,欧州,2007,62432438.0,77.2457976606157,48.22643473206934,50157.7837477634,3131.472724049646,2.53048188351066,22.5857089020594,0.0,0,0,0,0,0,0,7459,128.9,68.9,730
FRA,欧州,欧州,2008,62780187.0,77.1561901569367,48.438800462600454,50068.2969141379,3143.2970430411,0.380171435849121,22.9330135074895,0.0,0,0,0,0,0,0,6764,151.7,123.6,848
FRA,欧州,欧州,2009,63106460.0,77.1005391809676,48.65542091802164,48404.9657826363,3054.666036963307,-2.82455153714783,21.4495235712121,0.0,0,0,0,0,0,0,5339,82.9,74.5,1009
FRA,欧州,欧州,2010,63417366.0,77.0962844808803,48.89243290164106,49130.422942344,3115.722013469426,2.00032476039051,21.4821676799635,0.0,0,0,0,0,0,0,7535,145.9,99.0,1225
FRA,欧州,欧州,2011,63733776.0,77.1182717387509,49.15038656504681,50085.6829779109,3192.1496997211866,2.43757653729007,21.6992927837053,0.0,0,0,0,0,0,0,7950,151.1,109.4,1413
